# Timestamp: 2022-01-06 16:04:51.390518
Problem,Measurement,b3e3pbest,CMLSP,DE_b6e6rlwithrestart,FCDE,FERDE,FWA-DM,GaAPADE,L-SHADE,MVMO,NRGA,OptBees,POBL_ADE,rmalschcma,RSDE,SOO,SOO+BOBYQA,UMOEAS
1,Mean,48008768.60784314,,474593941.1764706,,676587531.6338596,9594260624.450981,,8352876835.738738,3666560941.1764708,5147058786.915705,215489254.03921568,844763.462745098,237102143.1372549,269923026.07843137,1396179900.0,189365920.58733386,
1,Std,87756888.80349949,,105721907.11009964,,1682124904.1668508,1282036464.9230883,,902747435.1774908,326185204.3276426,706915178.987798,79558072.98855549,167189.56016451947,54764960.16897585,85152409.52257025,0.0,3.4158785543431215e-08,
2,Mean,1982589114.0649018,,38643925490.196075,,22328019323.75463,435944772784.3137,,357133680933.14435,213822725490.19608,212998635714.8521,320600741.9411765,142900.05980392155,16106430.68627451,22470140274.509804,47814399800.0,110196094.24275692,
2,Std,5909782705.603053,,7974581553.023384,,58270416412.40114,26743291303.722195,,19085022809.390907,15188767252.926416,11519935618.151968,292139110.2691282,14329.83157895547,5368956.476660959,5450141339.446849,0.0,1.7079392771715608e-08,
3,Mean,21597.394007843137,,143121.26274509804,,57851.87357691196,612005.3025686275,,588469.3682960065,415331.76019607834,503960.99772783194,48356.24998039215,276412.362745098,470764.89999999985,119977.04664705884,1979150.0,128410.6521179161,
3,Std,36385.73541904141,,20640.261776744344,,142725.4190498825,40764.1236107578,,43081.559378435784,32528.189762396076,46733.499130064636,16372.948781554234,14130.737549377825,36842.358458373616,22336.65709912844,0.0,4.441011245166547e-11,
4,Mean,442.03555882352947,,4903.964509803921,,5110.276767884011,140731.5058780392,,100982.25705420754,43267.16160784314,47491.40915754688,488.85520235294115,19525.707843137257,324.3629117647059,2593.9454215686283,17114.800000000014,1249.4959850301984,
4,Std,672.2606013852171,,1219.3604489180154,,13847.300325961516,16124.20819109599,,11711.068811068393,4042.6437755515303,4782.269707825887,87.93795365129155,3211.4637947786023,41.77004291055102,842.5442065956556,3.9459420407848695e-12,2.9697146429089806e-13,
5,Mean,20.87969803921569,,21.13631960784314,,20.188492477879183,21.379573555882352,,21.40946389358022,21.336971078431375,21.408718284621564,20.408358333333332,21.409502549019606,21.40669941176471,21.4040223137255,21.21799999999999,20.90546626319999,
5,Std,0.1776425839803454,,0.03836242043728467,,0.4617117203625298,0.035550339374232666,,0.025019448537567806,0.03178562973916692,0.020576572510164762,0.14808556193059677,0.02491046514809927,0.0316322258992352,0.029148673510659005,4.072044556549932e-15,1.4924382626034676e-15,
6,Mean,103.3223294117647,,137.8270392156863,,143.2060756683773,163.06345671764706,,163.57919188265973,149.7970282352941,159.00814238344313,80.22840105882351,123.60862352941179,45.43460058823529,95.37124380392156,126.32399999999988,101.46170147519997,
6,Std,23.858474109051322,,2.1759435903226114,,5.708712754943129,2.4916297284219158,,2.8916218416433996,3.224891006108158,2.5110425340812874,6.635997060448879,4.0388809756570945,5.60376710007194,8.869811402747366,3.0827672193631793e-14,1.5413836096815897e-14,
7,Mean,21.458931464891986,,332.0663921568627,,192.33420411256753,3989.70043382353,,3237.7819606773883,1940.5201647058825,2035.111812312147,3.866945105882353,1314.8319686274513,1.1312373529411763,220.1102209803922,373.81,1.4153416988999703,
7,Std,64.28250986098816,,68.18517609064949,,517.3645443093801,210.2685020671657,,199.16668803290514,150.6944564810737,92.93260546598104,2.6914744011095575,139.3645977351374,0.04355018989842822,55.13524820197441,1.147960038673321e-13,2.3058788302507327e-16,
8,Mean,274.73732804368245,,915.3911372549022,,337.3516632719879,1681.1611301764706,,1568.3694652452273,1276.4663,1302.9523318670742,38.887173431372545,1.1672434509803917,789.1779666666665,1135.4326625490194,715.2200000000005,335.3159111966998,
8,Std,367.2415160426302,,36.28492057667581,,324.98528436604414,41.91727862610171,,62.13312182100595,42.65143102856814,33.55941296903473,10.800959161662272,0.057345249936562454,45.808711356293166,91.3501074455523,1.2331068877452717e-13,2.387901220165548e-14,
9,Mean,605.5812156862744,,1097.421392156863,,706.050283198874,2028.24417827451,,1815.593030434523,1483.9811176470594,1414.9790992348765,686.6749160784315,513.3725337254901,944.1109078431374,1263.417468627451,1146.07,638.5683472765006,
9,Std,230.63627521938332,,61.84621709454053,,345.56937820745287,73.48390668186818,,50.960769830045365,50.80086432299953,44.18601020224299,97.38451734725427,17.526279495101726,70.62011465224904,65.27853821698874,0.0,7.959670733885161e-14,
10,Mean,7854.101683647431,,23482.550980392156,,11621.69185317722,30782.72188803922,,31578.93731002046,27074.88149019608,29495.598682230502,5161.468760784313,3017.1803529411764,29851.38098039215,31492.03250980393,23063.6,14405.149918901609,
10,Std,10117.888736336014,,628.378533155304,,6012.643975512118,641.5271706841154,,666.2341984075091,684.0711591371112,631.0047342250039,544.6460874475811,104.23338272523837,866.5597387376127,664.7223447812662,1.1020416371263882e-11,2.0848868129535654e-12,
11,Mean,19672.539215686276,,26848.03333333333,,17718.92258019425,31447.72859117647,,32458.575128497247,30606.14998039216,32134.994549000545,14056.395882352943,30337.710588235303,30920.4143137255,32236.281823529414,24121.5,14792.840739598885,
11,Std,4988.377498572662,,609.5230596634043,,5557.626642354308,688.8659452587932,,514.9278150216419,554.589805946047,534.8727757420622,1185.1355309914466,746.9369791102854,1765.9819710494182,640.5488899481692,0.0,3.9459420407848695e-12,
12,Mean,1.4455130196078432,,2.68113,,2.9264652953323775,4.6047369128823545,,5.06180298371951,4.158644968627451,5.046713526254901,0.3607849472549019,1.386060394117647,5.0619070980392165,5.0792350254901955,2.9800000000000186,1.8201806592999208,
12,Std,0.8124346280467315,,0.21395652849650204,,0.8296242337847323,0.30489274106366293,,0.3655936718078806,0.26850731545959605,0.339504989705282,0.08854245788621984,0.07922649874956156,0.32305517898894404,0.3117221269254415,1.8655478282543344e-16,1.2436985521695562e-16,
13,Mean,0.5420376470588235,,2.2778246078431374,,1.2797103521551043,11.254796180392153,,9.947347837553373,7.420777715686273,7.544073694988237,1.294545505294118,6.014790294117647,0.728442617647059,0.9956005235294115,3.7699999999999814,0.5926998340999033,
13,Std,0.22536145796639273,,0.8655620074786972,,2.2265227169974366,0.4386385184156765,,0.34310824301335596,0.3387115252981733,0.24420750854699602,2.7795115539722173,0.25936682384730514,0.08130098883031704,0.4788242972978942,8.903526663309788e-16,4.663869570635836e-17,
14,Mean,2.4795069019607836,,99.05432352941176,,57.80374865325147,452.346176737255,,386.06174448211493,437.9982099999999,234.20927814898045,133.17672758725493,138.3908511764706,0.4234211568627451,52.37130445098039,95.27000000000007,0.4924909474000288,
14,Std,7.531894478040456,,17.725172132437653,,147.1488015522679,40.05249903009496,,28.919976223796848,36.11688930260158,16.720961633167395,334.34967552013063,11.477541484303355,0.11944673658704535,10.697502846446042,4.281792399424776e-14,3.1092463804238905e-17,
15,Mean,966.6609823529411,,486873.3019607843,,3299090.368500768,145083088.4856863,,65237295.98522472,10620363.74117647,11851114.4786996,135.17705088235292,165448.07658823533,108.40065960784314,22898.757239215687,1148970.0,43004.84064847418,
15,Std,3200.164610793229,,437388.6420703058,,9569178.744200319,41885710.116930276,,14809492.326215312,2678463.6490889713,2938706.1728260648,80.1547970773902,46796.42692858662,61.370019917963866,19779.4521146661,0.0,3.0565135618119016e-12,
16,Mean,43.120880392156856,,45.90229019607844,,44.31978574539297,47.655556385882356,,47.62184574144312,47.17781968627451,47.6243830198353,42.56025605882353,47.39782039215687,47.35809333333333,47.57775480392158,43.9100000000001,43.281445136899926,
16,Std,1.9452766676576312,,0.3046046697045925,,1.1319316605434313,0.1933913790374822,,0.17755020258238782,0.2895641876074534,0.2303951747259217,0.9126571009505314,0.28146236338766095,0.272420038094769,0.2976322895912573,1.4349500483416514e-14,7.706918048407948e-15,
17,Mean,1407702.982352941,,40616590.196078435,,70549809.84113312,1172868138.2098038,,1086267068.3762462,394371530.0,680117906.4407657,85305633.23529412,843719.6456862745,35324740.0,15399455.762745095,627639300.0,81337716.21924485,
17,Std,2258774.5665295054,,18998885.963503692,,182771991.80121833,246135936.55692354,,187518907.60418722,58596590.448881485,112698388.0307506,32713149.25427842,255841.1569157831,17416593.347946923,7645743.111371008,0.0,1.6162578599054826e-08,
18,Mean,1381220.970470588,,200494450.98039216,,893627526.1126215,36669722004.117645,,30748931624.952038,9938472819.607843,13757086265.38311,34365613.76078432,687971.9319607844,14891333.039215686,709763.9423745096,7822798200.0,7560.844463088302,
18,Std,5322405.828747139,,142939973.8790712,,2801350236.7825613,4747712036.618738,,2960012558.913435,1730581088.3215795,1615218386.7580676,85379910.32101007,232127.97753012105,16893905.101456933,1756237.9228053193,0.0,1.8234422606458446e-12,
19,Mean,117.48295490196077,,289.3813921568627,,379.91495500686034,6317.881862666669,,5457.544676221455,1882.6651156862745,2586.392956895932,135.37876905882348,937.6921921568628,157.54697254901959,198.98570627450985,1821.3399999999976,242.1533312058,
19,Std,55.334999364711955,,40.227012891826234,,426.40439635153257,1228.2787309742848,,868.4957937605615,221.20944624561827,335.0020271966205,50.36988865164138,150.77716902715048,30.353311116323773,44.350040673837476,3.6579861741294905e-13,0.0,
20,Mean,13985.776235294123,,127418.99411764705,,150126.14548812137,4298669.293843137,,3386524.8973893165,1025884.6905882349,2211105.0662119077,200031.1366078431,135055.86143137256,606256.756862745,109714.58192156859,1128420.0,127946.0576638489,
20,Std,20909.795725158256,,57930.4027712951,,403074.79867583327,1756964.6206395037,,1262762.0641731517,387465.26955052465,877873.9458246488,70900.81143132714,26887.89269495726,223075.80364644207,32150.505517048376,0.0,4.441011245166547e-11,
21,Mean,399219.9050980392,,15179349.411764706,,36109420.83513619,548910697.0,,462308860.0496524,163597628.03921568,314392109.44897497,49166550.294117644,404023.30843137257,25566462.68627451,6618848.421568627,449151900.0,18788291.19811401,
