# Timestamp: 2022-01-19 18:58:56.389285
Problem,Measurement,b3e3pbest,CMLSP,DE_b6e6rlwithrestart,FCDE,FERDE,FWA-DM,GaAPADE,L-SHADE,MVMO,NRGA,OptBees,POBL_ADE,rmalschcma,RSDE,SOO,SOO+BOBYQA,UMOEAS
1,Mean,4973880.545032404,0.003068951691372548,4.607552045098038e-06,593589.1528570462,5128978.454869382,21238.680846931366,0.014209695098039222,0.009438776843784821,2364.81278,434436.4767489302,61074.60939411763,89664.66293729411,0.0,0.0003145560850922941,8811340.0,99826.40000000001,8.62922557535177
1,Std,17791189.630842313,0.008764410367446051,2.3020409258721147e-05,1971111.0413947802,13203679.077584503,36363.53750651739,0.053564901991166064,0.006360365556387305,2023.3411704071273,465128.03799019934,49809.394143994556,348797.42793655605,0.0,0.0013189852573272317,0.0,4.384555417010971e-11,24.388128558691196
2,Mean,258642188.5735321,1.2348453092156867e-08,0.0,52051444.61995677,354477892.47567266,0.13814885601432186,0.025855358431372544,0.015363613514303851,266.2783625294118,924.5967609154274,4023.452587348627,181127.5858018878,0.0,0.0,926.1299999999994,515.6899999999997,3.7955867373574965
2,Std,700664629.9837676,4.952053160988021e-08,0.0,183847865.03990135,1076350730.7634304,0.6206007709516908,0.05444472235772523,0.010349098361271588,203.6554604316802,1107.7755074988766,3840.3423051983655,1171934.1606855174,0.0,0.0,2.323351397861965e-13,1.180609961088375e-13,13.864227948607423
3,Mean,4743.355019261775,0.007475108262745099,0.0,1893.6579213208784,17002.835530873843,4.64652904132395e-06,6.439723801960784e-06,4.577855732207479e-06,0.053112332705882344,1948.9468037527822,511.2209709788236,0.11377987484896314,1666.009384193961,0.0,6648.289999999997,6616.820000000004,0.012607336284509803
3,Std,10736.701684108117,0.012373112282435766,0.0,5463.474197544175,60088.07603073949,1.5600041229456247e-05,1.3224135842966752e-05,4.233727628892365e-06,0.03232006581936845,1601.417241470209,931.5524047446814,0.4685046198833223,2438.2661464000107,0.0,1.8234422606458446e-12,1.0424434064767827e-12,0.013007069605078232
4,Mean,54.64545098039211,1.1152139525490196e-06,14.067622022051514,36.35321942597858,36.43381511301091,3.2945490002916022,30.688286649137233,29.40956805737245,9.604569781652941,15.495047801364704,4.9439311389215685,30.004461447058823,0.08500905127431373,18.095486061764767,1.5629999999999888,0.009000000000014498,0.5389198361917646
4,Std,57.28752958966903,3.0157702482755606e-06,16.048516758844396,5.155211915045496,76.38340370518291,1.5010113680832597,11.205618506778045,12.464414463833466,14.802803936162555,16.832580764316234,9.227834138648007,14.811996428962077,0.6010970424994112,17.05090837381512,2.5450278478437077e-16,1.734723475976807e-18,0.9781952554712737
5,Mean,19.461390196078423,19.999900000000018,19.628978431372552,20.24304604448341,20.11352566020472,20.226976450000006,19.981470588235297,20.105283953099285,18.72238544509804,19.607003827907842,19.99997431372549,19.900106901960786,16.79659393703,20.000621313725492,20.0,20.0,19.91900907058823
5,Std,2.0610726646869026,2.4873971043391127e-15,1.6352296213782436,0.2568176989108826,0.19676219905086814,0.07353845913635768,0.4289962453760086,0.5329928134547084,4.130130840163868,2.7726492782331564,0.00012727452037687034,1.9043701136120352,7.776403888227674,0.004255554430320193,0.0,0.0,1.73319308065621
6,Mean,4.292568249125746,0.5074855151580258,0.01993248848235294,4.204682992779169,3.802957789804842,0.7274287864889413,1.3904624117647058,0.6622468356054683,0.5099823825490196,2.5487204029176467,3.93754249137255,1.0394581180117646,0.008053347935980395,0.5326545700612791,0.05299999999999728,0.05600000000004001,0.033237227673921566
6,Std,4.056514211370727,1.075089474659052,0.12634471671319927,1.84060375973613,3.281055435598387,0.6533108927859328,1.3656342794959846,0.7956967722157084,0.36953001281302383,1.2732540031685418,1.61971411299919,0.7748768853993916,0.01782233354948776,0.7581497908031717,1.3911760411421544e-17,7.00659203291822e-18,0.20810249585625176
7,Mean,3.3786576862745092,0.0,0.09055250196078428,0.6911560064733229,5.909419341583852,0.10011471551647054,0.06008095823529411,0.1906462787919045,0.11008002692156861,0.23153954308235292,0.17382236692162215,0.17306883882352944,0.0027543197283725488,0.07450511315882351,0.2069999999999938,0.2069999999999938,0.00010663785475686276
7,Std,9.373835871939294,0.0,0.030023594545058638,1.120447066627768,16.145222364761924,0.056727002295254306,0.035535031981503956,0.06556846290457263,0.048014325091086864,0.12401253060702547,0.1639300964176878,0.19405620586324432,0.0046454985585858005,0.04044153570208257,3.625139944957252e-17,3.625139944957252e-17,0.0003220876036465757
8,Mean,15.55700424345576,50.4780431372549,0.0,9.829583394996874,6.868032377052251,0.25361681700995964,4.390450980392156,5.8964995068121935,3.312413223529411,8.100843014270588,1.6683329477025788,8.120457764705884,5.070954725490197,10.495833176470587,20.894000000000002,20.894000000000002,0.0518735379316804
8,Std,22.582891249153207,10.890561637694066,0.0,9.831637303867454,12.740425992921015,0.8086230642374647,0.9002349182237017,0.996477721635133,0.901261345341508,4.749060425890936,1.39996626878063,3.7176857236096175,1.6273208173841585,4.676373532150989,3.552713678800501e-15,3.552713678800501e-15,0.28552126358400254
9,Mean,24.30660921568628,46.77533333333332,10.064374117647057,26.089417916851264,23.88979569266407,8.930531160843138,12.286713725490198,17.254566431734062,7.4914049098039195,8.915698849035294,25.673765323529416,8.718826235294115,5.995484903921569,12.033729798039216,18.904,18.904,5.862778247450981
9,Std,20.44329470240115,8.977432478724937,1.7192345148534673,5.515273418108545,24.29502467786856,3.377326307561273,2.6133844040892837,2.9060799072804375,1.8665129977200983,4.0712336098297355,10.800782368309227,4.467238683761116,2.264982861305947,5.799486580318228,0.0,0.0,4.3976043078592255
10,Mean,429.92756998051755,1259.909372549019,0.04899476731840196,890.0808824632134,233.27288756290815,8.285584553460787,73.26554901960783,105.76308059073456,87.51400837254901,225.03419232138236,288.7471607254901,183.0855790196079,14.510498211764704,242.78861048235282,130.46,130.46,4.547427637254901
10,Std,620.3859733611338,122.99840030395436,0.06695454969714754,479.56655483704964,444.5517030852453,19.350839843399672,19.85257155399321,30.47825708104663,38.26204270059327,194.27726522241142,113.89668488735293,130.35613280544652,38.68885522676106,179.12606725169599,0.0,0.0,8.89990861004423
11,Mean,879.8551764705884,1143.96155372549,526.7356666666667,597.6428761472125,452.3934522480569,629.3273580450981,599.145294117647,760.167244470785,303.7269515294117,663.740566799094,653.6899809803922,583.3126529411763,179.3165650392157,636.9451764117647,586.7099999999995,586.7099999999995,678.8289331372548
11,Std,529.0658821786552,371.7027184276985,112.76401890894422,520.657777259139,400.3630732299466,221.80793364259185,137.3138921802809,153.68953925984326,116.11835731209163,303.701472338923,269.103263078634,268.2710413440007,142.857109685826,340.45248396813633,1.3030542580959784e-13,1.3030542580959784e-13,259.17361735985435
